iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP	Accuracy_SumError	Accuracy_SumWeight
307	77	102	77	80	77	80	102	91	119
308	77	102	77	80	77	80	102	91	119
309	77	102	77	80	77	80	102	91	119
310	77	102	77	80	77	80	102	91	119
311	77	102	77	80	77	80	102	91	119
312	77	102	77	80	77	80	102	91	119
313	77	102	77	80	77	80	102	91	119
314	77	102	77	80	77	80	102	91	119
315	77	102	77	80	77	80	102	91	119
316	77	102	77	80	77	80	102	91	119
317	77	102	77	80	77	80	102	91	119
318	77	102	77	80	77	80	102	91	119
319	77	102	77	80	77	80	102	91	119
320	77	102	77	80	77	80	102	91	119
321	77	102	77	80	77	80	102	91	119
322	77	102	77	80	77	80	102	91	119
323	77	102	77	80	77	80	102	91	119
324	77	102	77	80	77	80	102	91	119
325	77	102	77	80	77	80	102	91	119
326	77	102	77	80	77	80	102	91	119
327	77	102	77	80	77	80	102	91	119
328	77	102	77	80	77	80	102	91	119
329	77	102	77	80	77	80	102	91	119
330	77	102	77	80	77	80	102	91	119
331	77	102	77	80	77	80	102	91	119
332	77	102	77	80	77	80	102	91	119
333	77	102	77	80	77	80	102	91	119
334	77	102	77	80	77	80	102	91	119
335	77	102	77	80	77	80	102	91	119
336	77	102	77	80	77	80	102	91	119
337	77	102	77	80	77	80	102	91	119
338	77	102	77	80	77	80	102	91	119
339	77	102	77	80	77	80	102	91	119
340	77	102	77	80	77	80	102	91	119
341	77	102	77	80	77	80	102	91	119
342	77	102	77	80	77	80	102	91	119
343	77	102	77	80	77	80	102	91	119
344	77	102	77	80	77	80	102	91	119
345	77	102	77	80	77	80	102	91	119
346	77	102	77	80	77	80	102	91	119
347	77	102	77	80	77	80	102	91	119
348	77	102	77	80	77	80	102	91	119
349	77	102	77	80	77	80	102	91	119
350	77	102	77	80	77	80	102	91	119
351	77	102	77	80	77	80	102	91	119
352	77	102	77	80	77	80	102	91	119
353	77	102	77	80	77	80	102	91	119
354	77	102	77	80	77	80	102	91	119
355	76	101	76	80	76	80	101	90	119
356	76	101	76	80	76	80	101	90	119
357	77	102	77	80	77	80	102	91	119
358	77	102	77	80	77	80	102	91	119
359	77	102	77	80	77	80	102	91	119
360	78	103	78	80	78	80	103	92	119
